iteration,latency_ms
0,330.306671
1,176.175995
2,294.070679
3,177.347198
4,159.122406
5,148.804993
6,482.230682
7,300.284424
8,201.848083
9,476.619385
10,557.898193
11,223.260300
12,169.740601
13,167.013794
14,191.014297
15,216.311905
16,195.204010
17,170.544098
18,247.234604
19,502.460785
20,294.299408
21,165.468903
22,189.339005
23,250.167816
24,232.381104
25,169.048615
26,228.298401
27,255.285706
28,227.546387
29,161.131104
30,76.277199
31,78.757195
32,81.040802
33,80.239601
34,80.358002
35,86.672401
36,78.086006
37,85.022491
38,79.191299
39,92.726707
40,98.617294
41,83.033104
42,81.238800
43,78.946205
44,92.485291
45,85.162804
46,85.635101
47,82.609604
48,87.766098
49,84.081108
50,228.985992
51,107.680595
52,77.773293
53,79.357605
54,79.671104
55,79.314095
56,79.278000
57,88.104897
58,77.742195
59,90.486603
60,77.262405
61,82.644402
62,88.321404
63,86.334396
64,96.928497
65,101.434303
66,77.846703
67,87.379295
68,78.547203
69,85.755699
70,77.112000
71,82.368401
72,81.445900
73,86.635406
74,124.276306
75,80.823105
76,79.591103
77,89.136497
78,76.673599
79,81.691803
80,80.299103
81,81.361397
82,82.664001
83,112.062202
84,89.041397
85,87.239296
86,85.592003
87,81.263298
88,85.433899
89,80.385002
90,79.260895
91,80.461395
92,76.679398
93,78.518494
94,82.376602
95,86.507507
96,82.034096
97,82.981903
98,85.009903
99,80.265404
